155
0132 ; 0.950 ; 0.039 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 1 parameter<br/> (exec./param.): 5 ;
0131 ; 0.950 ; 0.039 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 1 parameter<br/> (exec./param.): 5 ;
0130 ; 0.941 ; 0.040 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0129 ; 0.943 ; 0.042 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0128 ; 0.936 ; 0.042 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0127 ; 0.947 ; 0.044 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0126 ; 0.940 ; 0.041 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 1 parameter<br/> (exec./param.): 5 ;
0125 ; 0.940 ; 0.041 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 1 parameter<br/> (exec./param.): 5 ;
0124 ; 0.936 ; 0.042 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0123 ; 0.943 ; 0.045 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0122 ; 0.946 ; 0.042 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 1 parameter<br/> (exec./param.): 5 ;
0121 ; 0.948 ; 0.043 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 1 parameter<br/> (exec./param.): 5 ;
0120 ; 0.946 ; 0.044 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0119 ; 0.904 ; 0.052 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0118 ; 0.952 ; 0.042 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0117 ; 0.929 ; 0.046 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0116 ; 0.940 ; 0.041 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0115 ; 0.938 ; 0.045 ; MMRCMPSP ; 2016, Apr -- <br/>--h-- ; 4 parameters<br/> (exec./param.): 5 ;
0114 ; 0.963 ; 0.031 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0113 ; 0.965 ; 0.030 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0112 ; 0.963 ; 0.032 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0111 ; 0.965 ; 0.031 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0110 ; 0.957 ; 0.032 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0109 ; 0.965 ; 0.031 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0108 ; 0.962 ; 0.032 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0107 ; 0.965 ; 0.030 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0106 ; 0.966 ; 0.031 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
0105 ; 0.967 ; 0.031 ; MMRCMPSP ; 2016, Mar -- <br/>--h-- ; 2 parameters<br/> (exec./param.): 10 ;
