j609_1.sm ; 6300122 ; 28 ; 87 ; 2800087 ; 559.395 ; j609_1.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j609_3.sm ; 6800133 ; 36 ; 101 ; 3600101 ; 2728.880 ; j609_3.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j609_5.sm ; 7200124 ; 35 ; 87 ; 3500087 ; 2755.453 ; j609_5.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j609_6.sm ; 7100161 ; 23 ; 113 ; 2300113 ; 2721.585 ; j609_6.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j609_7.sm ; 7800152 ; 38 ; 112 ; 3800112 ; 2723.548 ; j609_7.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j609_8.sm ; 7300138 ; 31 ; 96 ; 3100096 ; 3381.795 ; j609_8.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j609_9.sm ; 5800138 ; 20 ; 100 ; 2000100 ; 2714.249 ; j609_9.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_1.sm ; 8800157 ; 46 ; 115 ; 4600115 ; 2805.283 ; j6013_1.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_2.sm ; 6900135 ; 42 ; 108 ; 4200108 ; 2731.650 ; j6013_2.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_3.sm ; 5600113 ; 33 ; 90 ; 3300090 ; 2720.616 ; j6013_3.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_4.sm ; 7700139 ; 43 ; 105 ; 4300105 ; 2781.691 ; j6013_4.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_5.sm ; 8000133 ; 46 ; 99 ; 4600099 ; 2750.540 ; j6013_5.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_6.sm ; 8000141 ; 34 ; 95 ; 3400095 ; 2734.268 ; j6013_6.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_7.sm ; 6400118 ; 36 ; 90 ; 3600090 ; 2721.768 ; j6013_7.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_8.sm ; 11600185 ; 53 ; 122 ; 5300122 ; 2780.665 ; j6013_8.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_9.sm ; 8000147 ; 36 ; 103 ; 3600103 ; 2729.405 ; j6013_9.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6013_10.sm ; 11400177 ; 56 ; 119 ; 5600119 ; 2791.027 ; j6013_10.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6025_2.sm ; 6800137 ; 31 ; 100 ; 3100100 ; 2718.960 ; j6025_2.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6025_4.sm ; 7100149 ; 31 ; 109 ; 3100109 ; 2714.747 ; j6025_4.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6025_5.sm ; 7300134 ; 38 ; 99 ; 3800099 ; 2792.069 ; j6025_5.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6025_6.sm ; 7100146 ; 38 ; 113 ; 3800113 ; 2726.508 ; j6025_6.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6025_7.sm ; 5300119 ; 25 ; 91 ; 2500091 ; 2712.015 ; j6025_7.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6025_8.sm ; 8800145 ; 42 ; 99 ; 4200099 ; 3156.553 ; j6025_8.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6025_10.sm ; 7100148 ; 32 ; 109 ; 3200109 ; 2711.944 ; j6025_10.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6029_1.sm ; 7400133 ; 45 ; 104 ; 4500104 ; 2754.565 ; j6029_1.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6029_2.sm ; 7900167 ; 46 ; 134 ; 4600134 ; 2840.093 ; j6029_2.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6029_3.sm ; 9000162 ; 51 ; 123 ; 5100123 ; 2776.979 ; j6029_3.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6029_4.sm ; 10600181 ; 61 ; 136 ; 6100136 ; 3143.670 ; j6029_4.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6029_5.sm ; 6000137 ; 35 ; 112 ; 3500112 ; 2747.870 ; j6029_5.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6029_6.sm ; 12000197 ; 79 ; 156 ; 7900156 ; 2841.840 ; j6029_6.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6029_7.sm ; 8000153 ; 52 ; 125 ; 5200125 ; 2754.303 ; j6029_7.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
j6029_8.sm ; 5100123 ; 33 ; 105 ; 3300105 ; 2722.895 ; j6029_8.sol ; 1700 ; 1000 ; 5000 ; 10000 ; 0.25 ;
