A-1 ; 16.278699 ; 1 ; 7 ; 23 ; 32 ; 64 ; 8 ; 0.333333 ; 0.333 ; 1 ; 1.000 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-2 ; 69.827481 ; 2 ; 6 ; 134 ; 128 ; 235 ; 22 ; 0.0731946 ; 0.037 ; 1 ; 0.500 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-3 ; 0.83444 ; 0 ; 0 ; 95 ; 41 ; 0 ; 6 ; 0 ; 0.000 ; 0 ; 0.000 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-4 ; 2117.462556 ; 65 ; 45 ; 1522 ; 12264 ; 487 ; 54 ; 43.426 ; 0.668 ; 44 ; 0.677 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-5 ; 4113.358978 ; 153 ; 62 ; 4657 ; 4622 ; 518 ; 5 ; 109.125 ; 0.713 ; 110 ; 0.719 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-6 ; 4712.647042 ; 147 ; 60 ; 4270 ; 4238 ; 416 ; 4 ; 78.3243 ; 0.533 ; 79 ; 0.537 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-7 ; 4030.365518 ; 596 ; 53 ; 1804 ; 1404 ; 749 ; 2 ; 421.379 ; 0.707 ; 422 ; 0.708 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-8 ; 4410.248404 ; 302 ; 16 ; 2154 ; 2103 ; 19 ; 2 ; 177.68 ; 0.588 ; 178 ; 0.589 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-9 ; 4383.253531 ; 223 ; 14 ; 1112 ; 1097 ; 2 ; 0 ; 129.493 ; 0.581 ; 130 ; 0.583 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
A-10 ; 394.139374 ; 969 ; -1 ; -1 ; -1 ; -1 ; -1 ; 632.155 ; 0.652 ; 633 ; 0.653 ; 1 ; 0.5 ; 0.2 ; 0 ; 1 ; 1 ; 1 ; 1 ; 1 ;
